"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","LOCATION","LAT","LON","Time.to.reports","Delayed_Report","Time_Slots_Happening","Weekdays_of_DateOcc"
211205477,2021-01-22,2021-01-22,1300,12,"77th Street",1235,2,624,"BATTERY - SIMPLE ASSAULT",55,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","1400 W  60TH                         ST",33.9859,-118.3002,0,"0","Afternoon","Friday"
231811923,2023-06-13,2023-06-13,2130,18,"Southeast",1822,2,624,"BATTERY - SIMPLE ASSAULT",41,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","100 W  COLDEN                       AV",33.9492,-118.2739,0,"0","Evening","Tuesday"
200215375,2020-09-23,2020-09-23,800,2,"Rampart",291,2,624,"BATTERY - SIMPLE ASSAULT",39,"M","H",402,"MARKET","IC","Invest Cont","1300 S  ALVARADO                     ST",34.0466,-118.2831,0,"0","Morning","Wednesday"
200916718,2020-11-01,2020-11-01,100,9,"Van Nuys",981,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other","15000    DICKENS                      ST",34.1515,-118.4601,0,"0","Midnight","Sunday"
221407166,2022-03-07,2022-02-25,930,14,"Pacific",1402,2,624,"BATTERY - SIMPLE ASSAULT",13,"F","H",710,"OTHER PREMISE","JO","Juv Other","11300    GRAHAM                       PL",34.0305,-118.4348,10,"1","Morning","Friday"
231215561,2023-07-12,2023-07-08,1300,12,"77th Street",1267,2,624,"BATTERY - SIMPLE ASSAULT",72,"F","H",801,"MTA BUS","IC","Invest Cont","BROADWAY",33.9601,-118.2783,4,"1","Afternoon","Saturday"
230319095,2023-10-31,2023-10-31,1630,3,"Southwest",395,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","4100 S  HARVARD                      BL",34.0093,-118.3067,0,"0","Afternoon","Tuesday"
222012529,2022-07-15,2022-07-15,1740,20,"Olympic",2013,2,624,"BATTERY - SIMPLE ASSAULT",24,"M","A",239,"MEDICAL MARIJUANA FACILITIES/BUSINESSES","IC","Invest Cont","WESTERN                      AV",34.0737,-118.3091,0,"0","Afternoon","Friday"
220220514,2022-11-21,2022-11-21,630,2,"Rampart",299,2,624,"BATTERY - SIMPLE ASSAULT",22,"F","H",108,"PARKING LOT","IC","Invest Cont","1400    TOBERMAN                     ST",34.0426,-118.2769,0,"0","Morning","Monday"
231005396,2023-02-05,2023-02-02,700,10,"West Valley",1044,2,624,"BATTERY - SIMPLE ASSAULT",74,"M","W",719,"MEDICAL/DENTAL OFFICES","IC","Invest Cont","5600    RESEDA                       BL",34.1747,-118.536,3,"1","Morning","Thursday"
201511703,2020-06-24,2020-06-23,1400,15,"N Hollywood",1544,2,624,"BATTERY - SIMPLE ASSAULT",36,"F","W",101,"STREET","IC","Invest Cont","LAUREL CANYON",34.1585,-118.3965,1,"0","Afternoon","Tuesday"
221320228,2022-11-01,2022-11-01,1405,13,"Newton",1345,2,624,"BATTERY - SIMPLE ASSAULT",59,"F","H",102,"SIDEWALK","IC","Invest Cont","1100 E  33RD                         ST",34.0136,-118.256,0,"0","Afternoon","Tuesday"
201713571,2020-09-23,2020-09-23,1005,17,"Devonshire",1738,2,624,"BATTERY - SIMPLE ASSAULT",26,"F","H",104,"DRIVEWAY","AO","Adult Other","15700    LUDLOW                       ST",34.271,-118.4738,0,"0","Morning","Wednesday"
200905848,2020-02-11,2020-02-10,1900,9,"Van Nuys",933,2,624,"BATTERY - SIMPLE ASSAULT",50,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest","14600    CALVERT                      ST",34.1817,-118.4509,1,"0","Evening","Monday"
220220765,2022-11-27,2022-11-27,1100,2,"Rampart",235,2,624,"BATTERY - SIMPLE ASSAULT",42,"M","H",158,"TRANSIENT ENCAMPMENT","IC","Invest Cont","MIRAMAR",34.0677,-118.2731,0,"0","Morning","Sunday"
201224558,2020-11-15,2020-11-15,400,12,"77th Street",1269,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","H",101,"STREET","IC","Invest Cont","84TH                         ST",33.9628,-118.2695,0,"0","Morning","Sunday"
210808094,2021-04-11,2021-04-11,850,8,"West LA",822,2,624,"BATTERY - SIMPLE ASSAULT",51,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","17300 W  SUNSET                       BL",34.0422,-118.554,0,"0","Morning","Sunday"
220908255,2022-04-22,2022-02-20,1930,9,"Van Nuys",926,2,624,"BATTERY - SIMPLE ASSAULT",37,"M","B",717,"HEALTH SPA/GYM","IC","Invest Cont","6700    VAN NUYS                     BL",34.1903,-118.4399,61,"1","Evening","Sunday"
220907855,2022-04-11,2022-04-11,1630,9,"Van Nuys",914,2,624,"BATTERY - SIMPLE ASSAULT",19,"F","H",210,"RESTAURANT/FAST FOOD","IC","Invest Cont","14900    VANOWEN                      ST",34.1976,-118.4574,0,"0","Afternoon","Monday"
221318775,2022-10-03,2022-10-02,1700,13,"Newton",1367,2,624,"BATTERY - SIMPLE ASSAULT",53,"M","H",203,"OTHER BUSINESS","IC","Invest Cont","4400 S  ALAMEDA                      ST",34.0001,-118.2389,1,"0","Afternoon","Sunday"
200406935,2020-03-15,2020-03-15,1230,4,"Hollenbeck",487,2,624,"BATTERY - SIMPLE ASSAULT",33,"M","H",504,"OTHER RESIDENCE","AO","Adult Other","1100    MARIETTA                     ST",34.0282,-118.2136,0,"0","Afternoon","Sunday"
221505183,2022-01-30,2022-01-30,1020,15,"N Hollywood",1503,2,624,"BATTERY - SIMPLE ASSAULT",41,"M","W",801,"MTA BUS","IC","Invest Cont","SHERMAN                      WY",34.2003,-118.4002,0,"0","Morning","Sunday"
230211283,2023-05-25,2023-05-25,1405,2,"Rampart",235,2,624,"BATTERY - SIMPLE ASSAULT",58,"F","H",102,"SIDEWALK","IC","Invest Cont","VALLEY",34.0648,-118.2715,0,"0","Afternoon","Thursday"
220211888,2022-06-13,2022-06-13,1450,2,"Rampart",257,2,624,"BATTERY - SIMPLE ASSAULT",48,"F","H",101,"STREET","AO","Adult Other","400 S  UNION                        AV",34.0598,-118.2683,0,"0","Afternoon","Monday"
210806861,2021-03-09,2020-11-01,800,8,"West LA",836,2,624,"BATTERY - SIMPLE ASSAULT",55,"F","W",242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.","AA","Adult Arrest","10300 W  OLYMPIC                      BL",34.0527,-118.4169,128,"1","Morning","Sunday"
221716435,2022-11-20,2022-11-19,2200,17,"Devonshire",1775,2,624,"BATTERY - SIMPLE ASSAULT",42,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","9400    BRIGHTWOOD                   CT",34.2405,-118.5032,1,"0","Evening","Saturday"
240304605,2024-01-12,2024-01-12,1000,3,"Southwest",363,2,624,"BATTERY - SIMPLE ASSAULT",62,"M","B",101,"STREET","IC","Invest Cont","MARTIN LUTHER KING JR        BL",34.015,-118.3416,0,"0","Morning","Friday"
230122968,2023-10-30,2023-10-30,330,1,"Central",152,2,624,"BATTERY - SIMPLE ASSAULT",53,"M","B",835,"7TH AND METRO CENTER (NOT LINE SPECIFIC)","IC","Invest Cont","600 S  FIGUEROA                     ST",34.0508,-118.2586,0,"0","Midnight","Monday"
221707620,2022-04-11,2022-04-11,830,17,"Devonshire",1766,2,624,"BATTERY - SIMPLE ASSAULT",58,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","JO","Juv Other","9600    WILBUR                       AV",34.2448,-118.5448,0,"0","Morning","Monday"
210807414,2021-03-25,2021-03-25,2008,8,"West LA",895,2,624,"BATTERY - SIMPLE ASSAULT",39,"M","B",504,"OTHER RESIDENCE","JA","Juv Arrest","3200    MOTOR                        AV",34.031,-118.411,0,"0","Evening","Thursday"
231305085,2023-01-22,2023-01-22,116,13,"Newton",1347,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","H",101,"STREET","IC","Invest Cont","ALAMEDA",34.0039,-118.2392,0,"0","Midnight","Sunday"
240605401,2024-01-27,2024-01-26,2020,6,"Hollywood",677,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","A",801,"MTA BUS","IC","Invest Cont","SANTA MONICA",34.0908,-118.3179,1,"0","Evening","Friday"
240205876,2024-02-04,2024-02-03,1530,2,"Rampart",289,2,624,"BATTERY - SIMPLE ASSAULT",51,"M","H",108,"PARKING LOT","AO","Adult Other","1300 W  11TH                         PL",34.0452,-118.2716,1,"0","Afternoon","Saturday"
201405400,2020-01-24,2020-01-24,1240,14,"Pacific",1411,2,624,"BATTERY - SIMPLE ASSAULT",43,"F","W",102,"SIDEWALK","AO","Adult Other","OCEAN FRONT                  WK",33.9933,-118.4792,0,"0","Afternoon","Friday"
201508625,2020-04-11,2020-04-11,1723,15,"N Hollywood",1555,2,624,"BATTERY - SIMPLE ASSAULT",43,"M","W",102,"SIDEWALK","IC","Invest Cont","5100    LANKERSHIM                   BL",34.163,-118.3734,0,"0","Afternoon","Saturday"
231905454,2023-02-04,2023-02-04,1500,19,"Mission",1954,2,624,"BATTERY - SIMPLE ASSAULT",55,"M","W",727,"SHOPPING MALL (COMMON AREA)","AO","Adult Other","10300 N  SEPULVEDA                    BL",34.2573,-118.4673,0,"0","Afternoon","Saturday"
201915180,2020-10-01,2020-10-01,1055,19,"Mission",1943,2,624,"BATTERY - SIMPLE ASSAULT",21,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","11000    MASCARELL                    AV",34.2697,-118.4562,0,"0","Morning","Thursday"
240105887,2024-01-27,2024-01-26,2130,1,"Central",156,2,624,"BATTERY - SIMPLE ASSAULT",53,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","500 S  SAN PEDRO                    ST",34.0437,-118.2455,1,"0","Evening","Friday"
200113941,2020-06-25,2020-06-25,1913,1,"Central",158,2,624,"BATTERY - SIMPLE ASSAULT",42,"F","H",710,"OTHER PREMISE","IC","Invest Cont","900 E  6TH                          ST",34.0393,-118.2405,0,"0","Evening","Thursday"
232112585,2023-08-06,2023-08-06,1945,21,"Topanga",2133,2,624,"BATTERY - SIMPLE ASSAULT",60,"M","B",108,"PARKING LOT","IC","Invest Cont","7300    MEDICAL CENTER               DR",34.2035,-118.6294,0,"0","Evening","Sunday"
210319484,2021-11-27,2021-11-27,1300,3,"Southwest",314,2,624,"BATTERY - SIMPLE ASSAULT",30,"F","B",102,"SIDEWALK","IC","Invest Cont","2500    3RD                          AV",34.0326,-118.32,0,"0","Afternoon","Saturday"
202106645,2020-02-27,2020-02-24,330,21,"Topanga",2189,2,624,"BATTERY - SIMPLE ASSAULT",14,"M","B",402,"MARKET","AO","Adult Other","20000    VENTURA                      BL",34.1719,-118.5684,3,"1","Midnight","Monday"
220121502,2022-09-29,2022-09-28,1530,1,"Central",162,2,624,"BATTERY - SIMPLE ASSAULT",31,"F","W",207,"BAR/COCKTAIL/NIGHTCLUB","IC","Invest Cont","400 W  8TH                          ST",34.0445,-118.2558,1,"0","Afternoon","Wednesday"
231714494,2023-08-19,2023-08-19,1814,17,"Devonshire",1754,2,624,"BATTERY - SIMPLE ASSAULT",33,"M","W",101,"STREET","IC","Invest Cont","10200    ETIWANDA                     AV",34.2555,-118.5323,0,"0","Afternoon","Saturday"
201421135,2020-12-03,2020-11-25,2200,14,"Pacific",1415,2,624,"BATTERY - SIMPLE ASSAULT",54,"F","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","1100    LAKE                         ST",34.0029,-118.4599,8,"1","Evening","Wednesday"
220514508,2022-10-04,2022-10-04,1915,5,"Harbor",567,2,624,"BATTERY - SIMPLE ASSAULT",25,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","2200    BARBOUR                      CT",33.7242,-118.2869,0,"0","Evening","Tuesday"
